requirement_id,id_number,summary,text,context,verification,actor,conformance,conditional,source
REQ-012,12,Encounter type search MAY support multiple AND values,"""multipleAnd : True ( Conformance Expectation = MAY)""",US Core Encounter type SearchParameter conformance expectations for supporting multiple AND search values,Test,Servers implementing US Core Encounter SearchParameter,MAY,False,SearchParameter us-core-encounter-type
REQ-013,13,Condition clinical status search MAY support multiple OR values,"""multipleOr : True (Conformance Expectation = MAY)""",US Core Condition clinical status SearchParameter conformance expectations for supporting multiple OR search values,Test,Servers implementing US Core Condition SearchParameter,MAY,False,SearchParameter us-core-condition-clinical-status
REQ-014,14,Condition clinical status search MAY support multiple AND values,"""multipleAnd : True ( Conformance Expectation = MAY)""",US Core Condition clinical status SearchParameter conformance expectations for supporting multiple AND search values,Test,Servers implementing US Core Condition SearchParameter,MAY,False,SearchParameter us-core-condition-clinical-status
REQ-015,15,MedicationRequest status search shall support multiple OR values,"""multipleOr : True (Conformance Expectation = SHALL)""","For the USCoreMedicationrequestStatus SearchParameter, when implementing the corresponding standard FHIR SearchParameter, multiple OR values must be supported for status searches",Test,FHIR Servers implementing MedicationRequest status search,SHALL,False,Section 14.71 SearchParameter: USCoreMedicationrequestStatus
REQ-016,16,MedicationDispense status search shall support multiple OR values,"""multipleOr : True (Conformance Expectation = SHALL)""","For the USCoreMedicationdispenseStatus SearchParameter, when implementing the corresponding standard FHIR SearchParameter, multiple OR values must be supported for status searches",Test,FHIR Servers implementing MedicationDispense status search,SHALL,False,Section 14.65 SearchParameter: USCoreMedicationdispenseStatus
REQ-017,17,US Core Condition Code SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreConditionCode SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,Section 14.18 SearchParameter: USCoreConditionCode
REQ-018,18,Servers and Clients SHOULD use standard FHIR SearchParameter instead of US Core Condition Code,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When searching for condition codes, implementations should use the standard FHIR SearchParameter rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,Section 14.18 SearchParameter: USCoreConditionCode
REQ-019,19,US Core Procedure Code SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreProcedureCode SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,Section 14.92 SearchParameter: USCoreProcedureCode
REQ-020,20,Servers and Clients SHOULD use standard FHIR SearchParameter instead of US Core Procedure Code,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When searching for procedure codes, implementations should use the standard FHIR SearchParameter rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,Section 14.92 SearchParameter: USCoreProcedureCode
REQ-021,21,US Core Observation Code SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreObservationCode SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,Section 14.73 SearchParameter: USCoreObservationCode
REQ-022,22,Servers and Clients SHOULD use standard FHIR SearchParameter instead of US Core Observation Code,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When searching for observation codes, implementations should use the standard FHIR SearchParameter rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,Section 14.73 SearchParameter: USCoreObservationCode
REQ-023,23,US Core ServiceRequest Code SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreServicerequestCode SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,Section 14.107 SearchParameter: USCoreServicerequestCode
REQ-024,24,Servers and Clients SHOULD use standard FHIR SearchParameter instead of US Core ServiceRequest Code,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When searching for service request codes, implementations should use the standard FHIR SearchParameter rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,Section 14.107 SearchParameter: USCoreServicerequestCode
REQ-025,25,Servers and Clients SHOULD use standard FHIR SearchParameter for PractitionerRole practitioner search,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","Instead of using the USCorePractitionerrolePractitioner SearchParameter for search operations, implementations should use the standard FHIR SearchParameter that this US Core parameter is derived from.",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-practitionerrole-practitioner.md
REQ-026,26,US Core Condition asserted-date search SHALL support gt comparator,"""comparator : gt ( Conformance Expectation = SHALL)""","The USCoreConditionAssertedDate SearchParameter returns conditions with an assertedDate extension matching the specified date, and must support greater than comparison operations.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-condition-asserted-date.md
REQ-027,27,US Core Condition asserted-date search SHALL support ge comparator,"""comparator : ge ( Conformance Expectation = SHALL)""","The USCoreConditionAssertedDate SearchParameter returns conditions with an assertedDate extension matching the specified date, and must support greater than or equal comparison operations.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-condition-asserted-date.md
REQ-028,28,US Core Condition asserted-date search SHALL support lt comparator,"""comparator : lt ( Conformance Expectation = SHALL)""","The USCoreConditionAssertedDate SearchParameter returns conditions with an assertedDate extension matching the specified date, and must support less than comparison operations.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-condition-asserted-date.md
REQ-029,29,US Core Condition asserted-date search SHALL support le comparator,"""comparator : le ( Conformance Expectation = SHALL)""","The USCoreConditionAssertedDate SearchParameter returns conditions with an assertedDate extension matching the specified date, and must support less than or equal comparison operations.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-condition-asserted-date.md
REQ-030,30,US Core PractitionerRole practitioner search SHALL support identifier chain,"""chain : identifier (Conformance Expectation = SHALL)""","The USCorePractitionerrolePractitioner SearchParameter documents expectations for chaining searches, requiring support for searching PractitionerRole by practitioner identifier.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-practitionerrole-practitioner.md
REQ-031,31,US Core PractitionerRole practitioner search SHALL support name chain,"""chain : name (Conformance Expectation = SHALL)""","The USCorePractitionerrolePractitioner SearchParameter documents expectations for chaining searches, requiring support for searching PractitionerRole by practitioner name.",Test,FHIR Server,SHALL,False,SearchParameter-us-core-practitionerrole-practitioner.md
REQ-032,32,US Core Goal Target Date SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreGoalTargetDate SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-goal-target-date.md
REQ-033,33,Servers and Clients should use standard FHIR SearchParameter instead of US Core Goal Target Date,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When implementing search functionality for goal target dates, the standard FHIR SearchParameter should be used rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-goal-target-date.md
REQ-034,34,US Core Patient Birthdate SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCorePatientBirthdate SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-patient-birthdate.md
REQ-035,35,Servers and Clients should use standard FHIR SearchParameter instead of US Core Patient Birthdate,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When implementing search functionality for patient birthdates, the standard FHIR SearchParameter should be used rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-patient-birthdate.md
REQ-036,36,US Core Patient Death Date SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCorePatientDeathDate SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions, but is not intended for actual search operations",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-patient-death-date.md
REQ-037,37,Servers and Clients should use standard FHIR SearchParameter instead of US Core Patient Death Date,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","When implementing search functionality for patient death dates, the standard FHIR SearchParameter should be used rather than the US Core specific one",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-patient-death-date.md
REQ-038,38,US Core Condition Recorded Date SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""",The USCoreConditionRecordedDate SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions to define additional expectations for SearchParameter elements.,Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-condition-recorded-date.md
REQ-039,39,US Core Condition Recorded Date SearchParameter standard FHIR SearchParameter SHOULD be used,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","The USCoreConditionRecordedDate SearchParameter is defined only to document expectations, and implementations should use the standard FHIR SearchParameter instead.",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-condition-recorded-date.md
REQ-040,40,US Core Condition Recorded Date SearchParameter multipleAnd support SHOULD be provided,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",The USCoreConditionRecordedDate SearchParameter defines conformance expectations for multipleAnd capability.,Test,Implementers,SHOULD,False,SearchParameter-us-core-condition-recorded-date.md
REQ-041,41,US Core Condition Recorded Date SearchParameter gt comparator SHALL be supported,"""comparator : gt ( Conformance Expectation = SHALL)""",The USCoreConditionRecordedDate SearchParameter defines conformance expectations for the greater than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-recorded-date.md
REQ-042,42,US Core Condition Recorded Date SearchParameter ge comparator SHALL be supported,"""comparator : ge ( Conformance Expectation = SHALL)""",The USCoreConditionRecordedDate SearchParameter defines conformance expectations for the greater than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-recorded-date.md
REQ-043,43,US Core Condition Recorded Date SearchParameter lt comparator SHALL be supported,"""comparator : lt ( Conformance Expectation = SHALL)""",The USCoreConditionRecordedDate SearchParameter defines conformance expectations for the less than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-recorded-date.md
REQ-044,44,US Core Condition Recorded Date SearchParameter le comparator SHALL be supported,"""comparator : le ( Conformance Expectation = SHALL)""",The USCoreConditionRecordedDate SearchParameter defines conformance expectations for the less than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-recorded-date.md
REQ-045,45,US Core Condition Last Updated SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""",The USCoreConditionLastUpdated SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions to define additional expectations for SearchParameter elements.,Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-condition-lastupdated.md
REQ-046,46,US Core Condition Last Updated SearchParameter standard FHIR SearchParameter SHOULD be used,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","The USCoreConditionLastUpdated SearchParameter is defined only to document expectations, and implementations should use the standard FHIR SearchParameter instead.",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-condition-lastupdated.md
REQ-047,47,US Core Condition Last Updated SearchParameter multipleAnd support SHOULD be provided,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",The USCoreConditionLastUpdated SearchParameter defines conformance expectations for multipleAnd capability.,Test,Implementers,SHOULD,False,SearchParameter-us-core-condition-lastupdated.md
REQ-048,48,US Core Condition Last Updated SearchParameter gt comparator SHALL be supported,"""comparator : gt ( Conformance Expectation = SHALL)""",The USCoreConditionLastUpdated SearchParameter defines conformance expectations for the greater than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-lastupdated.md
REQ-049,49,US Core Condition Last Updated SearchParameter ge comparator SHALL be supported,"""comparator : ge ( Conformance Expectation = SHALL)""",The USCoreConditionLastUpdated SearchParameter defines conformance expectations for the greater than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-lastupdated.md
REQ-050,50,US Core Condition Last Updated SearchParameter lt comparator SHALL be supported,"""comparator : lt ( Conformance Expectation = SHALL)""",The USCoreConditionLastUpdated SearchParameter defines conformance expectations for the less than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-lastupdated.md
REQ-051,51,US Core Condition Last Updated SearchParameter le comparator SHALL be supported,"""comparator : le ( Conformance Expectation = SHALL)""",The USCoreConditionLastUpdated SearchParameter defines conformance expectations for the less than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-condition-lastupdated.md
REQ-052,52,US Core ServiceRequest Authored SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""",The USCoreServicerequestAuthored SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions to define additional expectations for SearchParameter elements.,Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-servicerequest-authored.md
REQ-053,53,US Core ServiceRequest Authored SearchParameter standard FHIR SearchParameter SHOULD be used,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","The USCoreServicerequestAuthored SearchParameter is defined only to document expectations, and implementations should use the standard FHIR SearchParameter instead.",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-servicerequest-authored.md
REQ-054,54,US Core ServiceRequest Authored SearchParameter multipleAnd support SHOULD be provided,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",The USCoreServicerequestAuthored SearchParameter defines conformance expectations for multipleAnd capability.,Test,Implementers,SHOULD,False,SearchParameter-us-core-servicerequest-authored.md
REQ-055,55,US Core ServiceRequest Authored SearchParameter gt comparator SHALL be supported,"""comparator : gt ( Conformance Expectation = SHALL)""",The USCoreServicerequestAuthored SearchParameter defines conformance expectations for the greater than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-servicerequest-authored.md
REQ-056,56,US Core ServiceRequest Authored SearchParameter ge comparator SHALL be supported,"""comparator : ge ( Conformance Expectation = SHALL)""",The USCoreServicerequestAuthored SearchParameter defines conformance expectations for the greater than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-servicerequest-authored.md
REQ-057,57,US Core ServiceRequest Authored SearchParameter lt comparator SHALL be supported,"""comparator : lt ( Conformance Expectation = SHALL)""",The USCoreServicerequestAuthored SearchParameter defines conformance expectations for the less than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-servicerequest-authored.md
REQ-058,58,US Core ServiceRequest Authored SearchParameter le comparator SHALL be supported,"""comparator : le ( Conformance Expectation = SHALL)""",The USCoreServicerequestAuthored SearchParameter defines conformance expectations for the less than or equal comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-servicerequest-authored.md
REQ-059,59,US Core Encounter Last Updated SearchParameter SHALL NOT be used for search,"""It SHALL NOT be used as a search parameter for search.""",The USCoreEncounterLastUpdated SearchParameter is defined only to document Server and Client expectations and uses conformance expectation extensions to define additional expectations for SearchParameter elements.,Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-encounter-lastupdated.md
REQ-060,60,US Core Encounter Last Updated SearchParameter standard FHIR SearchParameter SHOULD be used,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","The USCoreEncounterLastUpdated SearchParameter is defined only to document expectations, and implementations should use the standard FHIR SearchParameter instead.",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-encounter-lastupdated.md
REQ-061,61,US Core Encounter Last Updated SearchParameter multipleAnd support SHOULD be provided,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",The USCoreEncounterLastUpdated SearchParameter defines conformance expectations for multipleAnd capability.,Test,Implementers,SHOULD,False,SearchParameter-us-core-encounter-lastupdated.md
REQ-062,62,US Core Encounter Last Updated SearchParameter gt comparator SHALL be supported,"""comparator : gt ( Conformance Expectation = SHALL)""",The USCoreEncounterLastUpdated SearchParameter defines conformance expectations for the greater than comparator.,Test,Implementers,SHALL,False,SearchParameter-us-core-encounter-lastupdated.md
REQ-063,63,US Core Encounter Last Updated SearchParameter ge comparator SHALL be supported,"""comparator : ge ( Conformance Expectation = SHALL)""",The USCore,,,,,
REQ-064,64,US Core Observation LastUpdated search parameter shall support gt comparator,"""comparator : gt ( Conformance Expectation = SHALL)""",The greater than comparator must be supported for Observation lastUpdated searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-observation-lastupdated.md
REQ-065,65,US Core Observation LastUpdated search parameter shall support ge comparator,"""comparator : ge ( Conformance Expectation = SHALL)""",The greater than or equal comparator must be supported for Observation lastUpdated searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-observation-lastupdated.md
REQ-066,66,US Core Observation LastUpdated search parameter shall support lt comparator,"""comparator : lt ( Conformance Expectation = SHALL)""",The less than comparator must be supported for Observation lastUpdated searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-observation-lastupdated.md
REQ-067,67,US Core Observation LastUpdated search parameter shall support le comparator,"""comparator : le ( Conformance Expectation = SHALL)""",The less than or equal comparator must be supported for Observation lastUpdated searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-observation-lastupdated.md
REQ-068,68,US Core Observation LastUpdated search parameter should support multipleAnd,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",Multiple AND conditions should be supported for Observation lastUpdated searches,Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-observation-lastupdated.md
REQ-069,69,US Core Condition OnsetDate search parameter shall not be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreConditionOnsetDate search parameter is defined only to document server and client expectations, not for actual search operations",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-condition-onset-date.md
REQ-070,70,US Core Condition OnsetDate search parameter should use standard FHIR SearchParameter,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","Instead of using the US Core specific search parameter, implementations should use the standard FHIR SearchParameter for Condition onset-date searches",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-condition-onset-date.md
REQ-071,71,US Core Condition OnsetDate search parameter shall support gt comparator,"""comparator : gt ( Conformance Expectation = SHALL)""",The greater than comparator must be supported for Condition onset-date searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-condition-onset-date.md
REQ-072,72,US Core Condition OnsetDate search parameter shall support ge comparator,"""comparator : ge ( Conformance Expectation = SHALL)""",The greater than or equal comparator must be supported for Condition onset-date searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-condition-onset-date.md
REQ-073,73,US Core Condition OnsetDate search parameter shall support lt comparator,"""comparator : lt ( Conformance Expectation = SHALL)""",The less than comparator must be supported for Condition onset-date searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-condition-onset-date.md
REQ-074,74,US Core Condition OnsetDate search parameter shall support le comparator,"""comparator : le ( Conformance Expectation = SHALL)""",The less than or equal comparator must be supported for Condition onset-date searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-condition-onset-date.md
REQ-075,75,US Core Condition OnsetDate search parameter should support multipleAnd,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",Multiple AND conditions should be supported for Condition onset-date searches,Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-condition-onset-date.md
REQ-076,76,US Core DocumentReference Period search parameter shall not be used for search,"""It SHALL NOT be used as a search parameter for search.""","The USCoreDocumentreferencePeriod search parameter is defined only to document server and client expectations, not for actual search operations",Test,Servers and Clients,SHALL NOT,False,SearchParameter-us-core-documentreference-period.md
REQ-077,77,US Core DocumentReference Period search parameter should use standard FHIR SearchParameter,"""Servers and Clients SHOULD use the standard FHIR SearchParameter.""","Instead of using the US Core specific search parameter, implementations should use the standard FHIR SearchParameter for DocumentReference period searches",Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-documentreference-period.md
REQ-078,78,US Core DocumentReference Period search parameter shall support gt comparator,"""comparator : gt ( Conformance Expectation = SHALL)""",The greater than comparator must be supported for DocumentReference period searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-documentreference-period.md
REQ-079,79,US Core DocumentReference Period search parameter shall support ge comparator,"""comparator : ge ( Conformance Expectation = SHALL)""",The greater than or equal comparator must be supported for DocumentReference period searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-documentreference-period.md
REQ-080,80,US Core DocumentReference Period search parameter shall support lt comparator,"""comparator : lt ( Conformance Expectation = SHALL)""",The less than comparator must be supported for DocumentReference period searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-documentreference-period.md
REQ-081,81,US Core DocumentReference Period search parameter shall support le comparator,"""comparator : le ( Conformance Expectation = SHALL)""",The less than or equal comparator must be supported for DocumentReference period searches,Test,Servers and Clients,SHALL,False,SearchParameter-us-core-documentreference-period.md
REQ-082,82,US Core DocumentReference Period search parameter should support multipleAnd,"""multipleAnd : True ( Conformance Expectation = SHOULD)""",Multiple AND conditions should be supported for DocumentReference period searches,Test,Servers and Clients,SHOULD,False,SearchParameter-us-core-documentreference-period.md
REQ-083,83,Package file should be first choice for implementation artifacts,"""This file SHOULD be the first choice whenever generating any implementation artifacts since it contains all the rules about what makes the profiles valid.""","The NPM package file contains all value sets, profiles, extensions, list of pages and URLs in the IG defined as part of the Implementation Guide version",Test,Implementers,SHOULD,False,Section 10.1.1 Package File
REQ-084,84,Conformant systems must support the SDOH category code for US Core Condition Problems and Health Concerns Profile,"""any conformant system SHALL support [the SDOH category code] to help identify the type of USCDI Health Status/Assessment data class being reported""","The US Core Screening Assessment Condition Category ValueSet consists of a single code ""sdoh"" which represents the minimum value set of category codes for the US Core Condition Problems and Health Concerns Profile",Test,Conformant systems implementing US Core Condition Problems and Health Concerns Profile,SHALL,False,"ValueSet-us-core-screening-assessment-condition-category.md, Section 14.194"
REQ-085,85,Risk analysis and management regime compliance with HIPAA security requirements,"""Systems SHALL establish a risk analysis and management regime that conforms with HIPAA security regulatory requirements.""",US Core security conformance requirements for protecting patient-specific information in FHIR transactions,Inspection,Systems implementing US Core,SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-086,86,Federal systems risk management compliance with NIST 800 series,"""US Federal systems SHOULD conform with the risk management and mitigation requirements defined in NIST 800 series documents.""",Additional risk management requirements specifically for US Federal systems implementing US Core,Inspection,US Federal systems implementing US Core,SHOULD,True,Section 8.1.1 Patient Privacy and Security
REQ-087,87,Security category assignment following NIST 800-60,"""This SHOULD include security category assignment following NIST 800-60 vol. 2 Appendix D.14.""",Risk management regime requirements as part of overall security conformance for US Core systems,Inspection,Systems implementing US Core,SHOULD,False,Section 8.1.1 Patient Privacy and Security
REQ-088,88,Single time source reference for security auditing and clinical data,"""Systems SHALL reference a single time source to establish a common time base for security auditing and clinical data records among computing systems.""",Time synchronization requirement for maintaining consistent audit logs and clinical data timestamps across US Core systems,Test,Systems implementing US Core,SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-089,89,Audit log maintenance for transactions,"""Systems SHALL keep audit logs of the various transactions.""",Audit logging requirement for tracking US Core FHIR transactions for security and compliance purposes,Test,Systems implementing US Core,SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-090,90,TLS version 1.2 or higher for non-secure network transmissions,"""Systems SHALL use TLS version 1.2 or higher for all transmissions not taking place over a secure network connection.""",Transport layer security requirement for protecting US Core FHIR data in transit over non-secure networks,Test,Systems implementing US Core,SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-091,91,Federal systems FIPS PUB 140-2 compliance,"""US Federal systems SHOULD conform with FIPS PUB 140-2.""",Additional cryptographic security standard compliance specifically for US Federal systems implementing US Core,Inspection,US Federal systems implementing US Core,SHOULD,True,Section 8.1.1 Patient Privacy and Security
REQ-092,92,FHIR Communications Security requirements compliance,"""Systems SHALL conform to FHIR Communications Security requirements.""",Adherence to base FHIR specification security requirements for communication protocols in US Core implementations,Test,"Systems implementing US Core, SHALL conformance level",SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-093,93,SMART App Launch Version 2.0.0 support for authentication and authorization,"""Systems SHALL support SMART App Launch Version 2.0.0 for Client <-> Server interactions.""",Authentication and authorization framework requirement for securing client-server interactions in US Core implementations,Test,"Systems implementing US Core, SHALL conformance level",SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-094,94,Consent requirements implementation per local policies,"""Systems SHALL implement consent requirements per their state, local, and institutional policies.""",Patient consent management requirement that varies based on applicable jurisdictional and organizational policies,Inspection,"Systems implementing US Core, SHALL conformance level",SHALL,False,Section 8.1.1 Patient Privacy and Security
REQ-095,95,US Core Provenance Profile implementation,"""Systems SHOULD provide Provenance statements using the US Core Provenance Profile resource and associated requirements.""",Data provenance tracking using US Core specific profile to maintain audit trail of data origins and transformations,Test,"Systems implementing US Core, SHOULD conformance level",SHOULD,False,Section 8.1.1 Patient Privacy and Security
